ID,Total [Total Pts: up to 500] |1403917,Running Grade [Total Pts: up to 100] |1447324,HW [Total Pts: 100] |1447322,Q1 [Total Pts: 100] |1447316,Q2 [Total Pts: 100] |1447318,Labs [Total Pts: 100] |1447319,Final [Total Pts: 100] |1447315
14247325,406.25,102.68%,109.82,89.5,98,100,NA
14180855,175.04,44.73%,16.18,45,29,91.67,NA
13766929,326.48,85.17%,96.08,67.5,46,100,NA
13684973,388,98.32%,101.73,81.5,94,100,NA
14174326,365.78,93.62%,107.98,69.5,83,100,NA
13266313,360.22,91.99%,104.15,85,68,100,NA
14185194,111.85,40.67%,3.39,0,NA,100,NA
14076680,403.97,102.13%,107.46,95,91,100,NA
14184803,264.51,65.93%,36.07,79,56,100,NA
14123962,387.81,98.23%,88.91,91,85,100,NA
14213864,394.34,99.53%,97.35,85,99,100,NA
13107994,370.84,94.99%,106,75.5,78,100,NA
14263372,363.22,93.13%,103.39,83,66,100,NA
14247108,392.72,99.28%,104.91,87,94,100,NA
14241553,392.87,98.25%,86.08,98,98,100,NA
14240195,398.72,100.56%,89.96,94,93,100,NA
14262709,348.62,85.82%,79.84,97,96,100,NA
13933813,364.28,92.51%,95.31,77,85,93.33,NA
14213847,407.84,102.74%,107.02,95,98,100,NA
13136275,300.06,77.98%,96.44,53.5,55,90,NA
13452966,336.12,87.43%,109.61,66.5,54,100,NA
14171790,310.36,81.03%,97.32,53,54,100,NA
13852470,397.23,100.49%,89.13,88,94,100,NA
13857880,320.87,83.71%,104.17,54.5,57,100,NA
14171049,361.4,91.69%,84.64,80,82,100,NA
14152032,295.31,77.62%,86.54,42.5,52,100,NA
14160784,304.13,78.39%,82.62,56.5,62.5,93.75,NA
14217006,404.41,102.12%,105.49,95,93,100,NA
13855511,320.99,84.25%,100.48,66.5,38,100,NA
14224063,340.06,88.16%,93.17,80,46,100,NA
14180708,390.82,99.27%,98.95,81.5,92,100,NA
14218383,397.06,100.37%,106.31,90,93,100,NA
14217320,414.25,104.39%,109.82,93.5,102,100,NA
14212217,388.34,98.56%,97.76,77,96.5,100,NA
14175611,328.78,85.87%,105.93,62,51,100,NA
13747721,295.33,76.38%,78.58,55,57,100,NA
14224501,400.84,101.24%,108.89,92,94,100,NA
14215716,379.12,96.64%,106.49,86.5,77,100,NA
14249044,411.62,103.61%,109.65,96,100,100,NA
14205291,345.94,86.70%,91.28,88,82,100,NA
14242974,408.75,103.21%,107.78,94,96,100,NA
14157547,365.14,92.83%,94.79,78,83,100,NA
14080401,403.18,101.84%,100.44,98,89,100,NA
14027079,265,63.93%,16.46,66,99,100,NA
14176392,320.62,83.25%,100.82,60,57,100,NA
13168697,356.5,89.79%,91.5,84,85,100,NA
14153435,346.06,89.27%,100.48,81.5,53,100,NA
14181071,348.12,90.18%,101.19,78,52,100,NA
14066415,262.26,63.72%,41.46,75,82,96.67,NA
14243899,410.75,103.64%,107.32,93,99,100,NA
14249682,405,101.96%,95.12,97.5,95,100,NA
