ID,Last Access,Availability,Child Course ID,WeightedTotal [Total Pts: up to 98.5 Percentage] |1704782,Total [Total Pts: up to 490 Score] |1704781,Quiz1 [Total Pts: 90 Score] |1719589,Quiz2 [Total Pts: 100 Score] |1719590,LabGrade [Total Pts: 100 Score] |1719591,Homework [Total Pts: 100 Score] |1719593,FinalExam [Total Pts: 100 Score] |1719594,MP
14062907,2018-12-06T11:51:20Z,Yes,16145.20182,89.93466,258.17,83,78,NA,97.17,NA,97.87
14133392,2018-12-07T02:20:24Z,Yes,16145.20182,88.26533,252.33,73,78,NA,101.33,NA,102.3
14221827,2018-12-06T22:39:02Z,Yes,16145.20182,64.42799,179.57,48,42,NA,89.57,NA,89.09
14277664,2018-11-29T10:04:36Z,Yes,16145.20182,41.52666,120.15,53,30,NA,37.15,NA,29.18
14259150,2018-11-29T11:00:33Z,Yes,16145.20182,73.30933,213.44,73,72,NA,68.44,NA,62.5
14244953,2018-12-04T11:25:14Z,Yes,16145.20182,67.39333,193.9,67,57,NA,69.9,NA,61.44
14277708,2018-12-07T08:30:24Z,Yes,10870.20182,99.49466,287.57,92,94,NA,101.57,NA,101.17
14318942,2018-12-06T11:45:17Z,Yes,10870.20182,86.94266,247.94,80,69,NA,98.94,NA,95.36
14212460,2018-11-26T17:00:46Z,Yes,16145.20182,69.63466,206.92,80,78,NA,48.92,NA,43.16
14307048,2018-12-05T13:37:20Z,Yes,16145.20182,72.228,210.57,54,84,NA,72.57,NA,71.55
14253238,2018-12-05T01:23:14Z,Yes,10870.20182,49.45599,145.64,69,42,NA,34.64,NA,36.84
14190532,2018-12-05T14:38:15Z,Yes,16145.20182,73.564,218.41,72,90,NA,56.41,NA,57.18
14081310,2018-12-05T15:41:27Z,Yes,10870.20182,74.81733,222.21,82,86,NA,54.21,NA,49.65
14327993,2018-12-06T12:03:46Z,Yes,10870.20182,87.004,250.01,72,82,NA,96.01,NA,98.86
14239943,2018-12-06T15:14:23Z,Yes,10870.20182,93.37466,268.52,89,81,NA,98.52,NA,96.87
14242539,2018-12-03T03:59:07Z,Yes,16145.20182,75.16,216.15,54,77,NA,85.15,NA,85.5
14286716,2018-12-01T10:08:42Z,Yes,10870.20182,98.12799,283.57,87,95,NA,101.57,NA,98.82
